iter	RMSE
0	6488.070246
1	5974.718755
2	5283.023816
3	4904.420603
4	4500.305494
5	4135.577135
6	3775.852046
7	3600.796539
8	3382.280137
9	3137.090316
10	2939.289774
11	2787.031813
12	2662.181673
13	2525.553056
14	2462.246718
15	2373.173578
16	2303.158373
17	2230.079039
18	2160.710934
19	2127.701184
20	2079.167601
21	2038.10597
22	2008.30925
23	1957.509087
24	1923.263775
25	1879.896424
26	1856.150015
27	1834.525751
28	1814.992752
29	1796.737838
30	1760.297427
31	1736.498196
32	1706.694914
33	1683.064573
34	1666.301633
35	1644.789392
36	1628.770653
37	1584.631096
38	1567.360209
39	1550.255196
40	1543.416874
41	1523.877204
42	1509.09051
43	1497.329941
44	1472.946266
45	1442.4667
46	1432.133438
47	1422.532005
48	1414.390181
49	1396.699674
50	1388.00764
51	1383.219686
52	1378.117915
53	1371.432288
54	1351.795031
55	1348.332792
56	1339.506024
57	1335.849067
58	1325.019709
59	1319.745987
60	1310.375773
61	1303.621687
62	1296.928279
63	1284.416916
64	1273.96727
65	1269.546013
66	1261.460961
67	1255.120522
68	1250.554515
69	1241.593063
70	1233.341552
71	1229.300948
72	1220.9149
73	1213.970326
74	1207.995302
75	1195.469569
76	1185.324238
77	1181.228731
78	1176.648817
79	1172.612394
80	1168.720591
81	1161.878195
82	1157.742617
83	1152.879758
84	1146.028399
85	1142.435119
86	1138.963263
87	1134.652344
88	1132.948312
89	1123.011205
90	1120.540523
91	1116.737713
92	1108.927971
93	1102.7453
94	1097.070397
95	1093.508403
96	1087.953648
97	1085.445845
98	1083.738001
99	1079.868466
100	1074.470922
101	1069.588561
102	1068.21308
103	1062.599291
104	1058.150303
105	1053.93466
106	1050.450457
107	1047.527551
108	1043.056115
109	1039.587609
110	1037.169774
111	1033.976056
112	1030.367426
113	1025.178432
114	1023.578194
115	1022.436139
116	1019.327919
117	1016.436152
118	1015.357877
119	1012.47919
120	1006.370504
121	1003.005392
122	999.8839766
123	999.0354127
124	991.5561153
125	987.7688687
126	984.2344119
127	982.8524839
128	976.6038763
129	974.6082411
130	972.160257
131	969.5522529
132	967.2228437
133	964.2844915
134	957.0762149
135	954.88238
136	950.2420896
137	948.1783362
138	946.8068145
139	945.8087943
140	942.8771564
141	941.6287899
142	939.0648671
143	936.1345429
144	932.2764213
145	931.4341045
146	930.2512293
147	921.0907384
148	919.2986567
149	916.9859392
150	915.1774374
151	912.6425552
152	908.8731337
153	906.6152177
154	903.6516284
155	901.7549945
156	898.4922544
157	896.7114561
158	896.3049254
159	891.0235827
160	889.2434063
161	888.5607902
162	887.3755889
163	885.2799075
164	881.5702878
165	878.5931705
166	873.5528826
167	872.705941
168	869.3054468
169	867.3580592
170	866.5105516
171	865.1828431
172	864.464877
173	863.6103802
174	862.6556242
175	861.6600771
176	859.6083511
177	859.2679361
178	856.7892868
179	853.7434258
180	852.7993117
181	849.0939802
182	847.5556848
183	845.886809
184	845.0442277
185	840.5729752
186	838.2656111
187	837.9378266
188	836.3463946
189	833.9936924
190	831.5865139
191	829.3509947
192	827.3181068
193	825.2501337
194	823.8612674
195	823.3112512
196	822.171756
197	821.6762503
198	820.2319708
199	817.4131863
200	815.757036
201	813.2008717
202	811.8865285
203	810.7008523
204	809.0166048
205	807.3304083
206	805.3433389
207	803.0198961
208	800.9406217
209	798.7038939
210	797.511579
211	795.9675874
212	795.3405643
213	794.4390547
214	792.3601194
215	791.3030803
216	789.2891834
217	787.4639102
218	786.0044021
219	782.6954475
220	780.9500949
221	780.0456261
222	779.5387205
223	777.8895549
224	776.0828983
225	774.070357
226	772.1882169
227	771.0594412
228	770.4424102
229	767.9181569
230	766.1272516
231	765.1798649
232	764.5105665
233	764.3526254
234	763.0665642
235	762.3982335
236	762.1818951
237	761.2466095
238	760.0904633
239	758.6759661
240	757.7542831
241	755.6258546
242	754.1834387
243	753.1430495
244	750.4857706
245	749.2844215
246	747.5951815
247	745.8520812
248	745.0807263
249	744.9123629
250	743.4311688
251	742.6441629
252	740.9574567
253	740.7554527
254	739.9409862
255	738.6790319
256	738.3031673
257	736.3703679
258	736.2179855
259	733.6769345
260	732.5528878
261	731.5131756
262	730.5443842
263	727.7894204
264	727.4358435
265	727.1283446
266	725.6178201
267	723.8018577
268	723.423429
269	723.1102299
270	721.9335947
271	721.6890793
272	721.5476786
273	721.2711326
274	721.1331203
275	719.7646299
276	718.7975707
277	718.5057068
278	716.0992713
279	715.5204984
280	714.4141415
281	713.7358451
282	712.6723551
283	712.2500164
284	711.4980924
285	710.1322739
286	710.008164
287	709.8470837
288	709.0748302
289	708.8535419
290	708.4905397
291	707.7081989
292	707.2676684
293	706.9106643
294	706.6164712
295	706.2790224
296	704.8912474
297	703.8567848
298	702.2191848
299	701.0170396
300	699.6012079
301	698.5727466
302	698.3726796
303	697.7661644
304	697.4653899
305	695.260271
306	694.8656037
307	693.7378016
308	692.7401105
309	691.6993438
310	691.308462
311	690.8792346
312	689.0661161
313	687.7853793
314	687.4379328
315	686.6885945
316	686.4903777
317	685.6411001
318	684.9087356
319	683.9945641
320	683.2138543
321	682.8691145
322	681.0321749
323	680.9415902
324	679.8617695
325	678.5433626
326	677.817247
327	677.2792205
328	676.1751791
329	675.1536087
330	674.4397339
331	674.2071626
332	673.0164669
333	672.7126321
334	672.4710482
335	672.2717328
336	671.6735204
337	670.5492721
338	669.1554831
339	668.3804591
340	668.2198594
341	667.3661904
342	666.6527877
343	665.6321564
344	665.4718157
345	664.8048658
346	664.699053
347	664.4752391
348	663.6311986
349	663.4947031
350	663.4325078
351	663.23897
352	663.0086091
353	661.7167523
354	659.8837635
355	658.9773229
356	658.8615538
357	657.3313845
358	656.7306745
359	655.183544
360	654.7182882
361	654.5250092
362	654.1158892
363	653.1116082
364	652.6394373
365	652.5320568
366	651.9387222
367	651.4175504
368	650.7770042
369	650.1555561
370	650.0647119
371	649.7625232
372	648.9932219
373	648.130169
374	647.8895819
375	647.6799991
376	647.6249519
377	647.1418517
378	646.8727392
379	646.401174
380	645.2777616
381	644.3281635
382	644.0991473
383	643.5596278
384	643.141921
385	642.8301894
386	642.2808846
387	642.1884059
388	641.9487591
389	640.8949966
390	640.3567541
391	640.08187
392	639.403426
393	638.5935982
394	637.562153
395	636.6988583
396	635.9247827
397	635.4864425
