iter	Passed	Remaining
0	0	178
1	0	170
2	0	147
3	1	136
4	1	131
5	1	127
6	1	123
7	1	119
8	2	117
9	2	119
10	2	117
11	2	115
12	3	114
13	3	114
14	3	113
15	3	112
16	3	111
17	4	110
18	4	109
19	4	108
20	4	107
21	4	106
22	5	105
23	5	104
24	5	104
25	5	103
26	5	104
27	6	105
28	6	106
29	6	108
30	7	107
31	7	106
32	7	108
33	7	107
34	8	107
35	8	106
36	8	107
37	8	106
38	8	105
39	9	106
40	9	106
41	9	106
42	10	108
43	10	112
44	11	112
45	11	112
46	11	113
47	12	114
48	12	114
49	12	114
50	12	113
51	13	113
52	13	113
53	13	113
54	13	112
55	14	112
56	14	111
57	19	148
58	19	147
59	19	146
60	20	144
61	20	144
62	20	143
63	20	142
64	21	142
65	21	141
66	21	140
67	22	139
68	22	139
69	22	138
70	22	137
71	23	137
72	23	136
73	23	135
74	23	134
75	24	134
76	24	137
77	25	140
78	26	140
79	26	140
80	26	139
81	27	138
82	27	138
83	27	137
84	27	136
85	28	135
86	28	134
87	28	134
88	28	133
89	29	132
90	29	131
91	29	131
92	29	130
93	29	129
94	30	128
95	30	128
96	30	127
97	30	127
98	31	126
99	31	126
100	31	126
101	32	125
102	32	125
103	32	124
104	33	124
105	33	124
106	33	124
107	34	123
108	34	123
109	34	122
110	34	122
111	35	121
112	35	121
113	35	120
114	35	119
115	36	119
116	36	118
117	36	117
118	36	117
119	36	116
120	36	115
121	37	115
122	37	114
123	37	113
124	37	113
125	37	112
126	38	112
127	38	111
128	39	112
129	39	112
130	40	112
131	40	112
132	40	111
133	40	111
134	40	110
135	41	110
136	41	109
137	41	108
138	41	108
139	57	146
140	57	146
141	57	145
142	58	145
143	58	144
144	58	144
145	59	143
146	59	143
147	60	143
148	60	143
149	61	142
150	61	142
151	62	142
152	62	142
153	63	142
154	64	143
155	64	143
156	65	143
157	66	142
158	66	142
159	67	142
160	67	142
161	68	141
162	68	141
163	69	141
164	70	142
165	71	143
166	72	143
167	72	143
168	73	143
169	73	142
170	73	142
171	74	141
172	74	141
173	75	140
174	75	140
175	75	139
176	76	139
177	76	139
178	77	138
179	78	139
180	78	139
181	79	138
182	79	138
183	80	138
184	81	138
185	81	137
186	82	137
187	82	136
188	82	136
189	84	137
190	85	138
191	86	138
192	87	138
193	87	138
194	88	137
195	88	137
196	88	136
197	89	136
198	90	136
199	90	135
200	94	140
201	94	139
202	95	139
203	96	139
204	96	139
205	97	138
206	97	138
207	98	138
208	99	138
209	100	138
210	100	138
211	101	137
212	102	137
213	102	137
214	103	136
215	103	136
216	104	135
217	104	135
218	105	134
219	105	134
220	105	133
221	106	133
222	106	132
223	107	131
224	107	131
225	108	130
226	108	130
227	108	129
228	109	129
229	109	128
230	109	128
231	110	127
232	110	126
233	110	126
234	111	125
235	111	124
236	112	125
237	113	124
238	113	124
239	114	123
240	114	123
241	114	122
242	115	121
243	115	120
244	115	120
245	115	119
246	116	118
247	116	118
248	116	117
249	116	116
250	116	116
251	117	115
252	117	114
253	117	114
254	117	113
255	118	112
